accountsservice 22.08.8-2
systemd-sysvcompat 251.2-1
tar 1.34-1
tbb 2021.5.0-2
tdb 1.4.7-1
texinfo 6.8-2
thefuck 3.32-1
thin-provisioning-tools 0.9.0-1
tinyxml 2.6.2-9
tmux 3.3_a-2
tpm2-tss 3.2.0-1
tracker3 3.3.2-1
tslib 1.22-1
ttf-croscore 20220607-1
ttf-fira-mono 2:3.206-4
ttf-fira-sans 1:4.301-2
ttf-google-fonts-git 1:r3795.376129794-1
ttf-inconsolata 1:3.000-3
ttf-liberation 2.1.5-1
ttf-merriweather 1:2.100-1
ttf-merriweather-sans 1.008-3
ttf-opensans 1.101-2
ttf-oswald 4.101-3
ttf-quintessential 1.001-6
ttf-roboto 2.138-4
ttf-signika 2.000-1
ttf-ubuntu-font-family 0.83-8
typescript 4.7.4-1
tzdata 2022a-1
uchardet 0.0.7-1
udisks2 2.9.4-1
unzip 6.0-18
upower 0.99.19-1
usbmuxd 1.1.1-1
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
via-bin 1.3.1-1
vid.stab 1.1-3
vim 9.0.0000-1
vim-runtime 9.0.0000-1
vimix-gtk-themes 2022.04.24-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-headers 1:1.3.217-1
vulkan-icd-loader 1.3.217-1
vulkan-radeon 22.1.3-1
vulkan-validation-layers 1.3.216.0-1
wallutils 5.10.0-3
wayland 1.21.0-1
wayland-protocols 1.25-1
webkit2gtk-4.1 2.36.4-2
webrtc-audio-processing 0.3.1-3
wf-recorder 0.3.0-1
wget 1.21.3-1
which 2.21-5
wireplumber 0.4.11-1
wl-clipboard 1:2.1.0-1
wlogout 1.1.1-3
wlr-randr 0.2.0-2
woff2 1.0.2-3
wofi 1.2.4-2
wpebackend-fdo 1.12.0-2
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.3-4
xcb-util-errors 1.0-4
xcb-util-image 0.4.0-4
xcb-util-keysyms 0.4.0-4
xcb-util-renderutil 0.3.9-4
